Film, Year, Actor, Director, Box Office, Budget, Bond Actor Salary
Dr. No, 1962, Sean Connery, Terence Young, 59.6, 1.0, 0.017
From Russia with Love, 1963, Sean Connery, Terence Young, 78.9, 2.0, 0.154
Goldfinger, 1964, Sean Connery, Guy Hamilton, 124.9, 3.0, 0.5
Thunderball, 1965, Sean Connery, Terence Young, 141.2, 9.0, 0.75
You Only Live Twice, 1967, Sean Connery, Lewis Gilbert, 111.6, 9.5, 1.0
On Her Majesty's Secret Service, 1969, George Lazenby, Peter R. Hunt, 82.0, 8.0, 0.081
Diamonds Are Forever, 1971, Sean Connery, Guy Hamilton, 116.0, 7.2, 1.2
Live and Let Die, 1973, Roger Moore, Guy Hamilton, 161.8, 7.0, 1.0
The Man with the Golden Gun, 1974, Roger Moore, Guy Hamilton, 97.6, 7.0, 1.0
The Spy Who Loved Me, 1977, Roger Moore, Lewis Gilbert, 185.4, 14.0, 1.0
Moonraker, 1979, Roger Moore, Lewis Gilbert, 210.3, 31.0, 4.0
For Your Eyes Only, 1981, Roger Moore, John Glen, 195.3, 28.0, 3.0
Octopussy, 1983, Roger Moore, John Glen, 187.5, 27.5, 4.0
A View to a Kill, 1985, Roger Moore, John Glen, 152.6, 30.0, 5.0
The Living Daylights, 1987, Timothy Dalton, John Glen, 191.2, 40.0, 3.0
Licence to Kill, 1989, Timothy Dalton, John Glen, 156.2, 42.0, 5.0
GoldenEye, 1995, Pierce Brosnan, Martin Campbell, 356.4, 60.0, 1.2
Tomorrow Never Dies, 1997, Pierce Brosnan, Roger Spottiswoode, 339.5, 110.0, 8.2
The World Is Not Enough, 1999, Pierce Brosnan, Michael Apted, 361.7, 135.0, 12.4
Die Another Day, 2002, Pierce Brosnan, Lee Tamahori, 431.9, 142.0, 16.5
Casino Royale, 2006, Daniel Craig, Martin Campbell, 594.4, 150.0, 3.22
Quantum of Solace, 2008, Daniel Craig, Marc Forster, 591.7, 230.0, 7.25
Skyfall, 2012, Daniel Craig, Sam Mendes, 1110.5, 200.0, 17.0
Spectre, 2015, Daniel Craig, Sam Mendes, 879.1, 245.0, 24.0
No Time to Die, 2021, Daniel Craig, Cary Joji Fukunaga, 758.9, 250.0, 25.0
Casino Royale, 2021, Daniel Craig, Martin Campbell, 594.4, 150.0, 3.22
