Date,New York,Los Angeles,Miami
2024-01-01,15200,12400,8900
2024-01-02,14800,13100,9200
2024-01-03,16100,11900,8750
2024-01-04,15900,14200,9100
2024-01-05,17500,15600,10500
2024-01-06,21000,18900,12400
2024-01-07,19800,17500,11800
2024-01-08,14500,12800,8500
2024-01-09,13900,13200,8800
2024-01-10,14200,12900,9000
2024-01-11,15300,13500,9400
2024-01-12,16800,14900,10200
2024-01-13,22500,19500,13100
2024-01-14,20400,18200,12600
2024-01-15,14100,12600,8700
2024-01-16,13800,13000,8950
2024-01-17,14400,13400,9100
2024-01-18,15100,14000,9300
2024-01-19,17200,15800,10800
2024-01-20,23000,20100,14200
