StockName,Value
AAPL,175.50
MSFT,410.25
GOOGL,150.10
AMZN,180.75
NVDA,880.00
META,490.50
TSLA,170.20
BRK.A,620000.00
LLY,750.30
AVGO,1300.50
JPM,190.15
V,280.00
UNH,450.60
MA,455.00
PG,160.25
HD,350.10
JNJ,155.00
COST,720.50
BAC,35.50
ABBV,160.00
KO,60.20
CRM,300.00
MRK,120.50
PEP,170.00
TMO,550.00
CVX,155.50
AMD,175.00
CSCO,48.00
NFLX,600.00
XOM,110.00
MCD,280.00
NKE,95.00
INTC,35.00
DIS,110.50
PFE,28.00
IBM,185.00
VZ,38.00
WMT,60.00
GE,150.00
AMGN,280.00
CAT,330.00
COP,130.00
MMM,90.00
AXP,220.00
BA,170.00
GS,400.00
HON,190.00
INTU,620.00
NOW,750.00
QCOM,160.00
AMAT,190.00
PLTR,22.00
UBER,75.00
SQ,70.00
ZM,60.00
COIN,220.00
RIVN,12.00
LCID,3.00
NKLA,1.00
F,12.00
GM,40.00
T,17.00
CMCSA,40.00
TMUS,160.00
CHTR,300.00
SBUX,90.00
MDT,80.00
BMY,50.00
PNC,150.00
USB,40.00
BK,55.00
STT,70.00
TFC,35.00
FITB,35.00
KEY,15.00
CMA,50.00
RF,20.00
HBAN,13.00
ZION,40.00
MTB,130.00
VFC,15.00
GPS,20.00
RL,160.00
UAA,8.00
PVH,100.00
HBI,5.00
TPR,35.00
COH,40.00
KSS,20.00
JWN,18.00
M,15.00
DDS,350.00
AEO,15.00
ANF,80.00
URBN,30.00
LB,60.00
FOSL,2.00
GES,18.00
CRI,150.00
